x,y
24,22
50,47
15,17
38,37
87,87
36,32
12,11
81,81
25,25
5,7
16,11
16,14
24,25
39,39
54,48
60,62
26,27
73,70
29,29
31,25
68,69
87,85
58,57
54,51
84,83
58,57
49,48
20,24
90,95
48,48
4,7
25,22
42,42
0,0
60,62
93,91
39,39
7,6
21,23
68,61
84,85
0,-1
58,62
19,22
36,34
19,18
59,59
51,53
19,22
33,35
85,86
44,43
5,4
59,61
14,18
9,12
75,80
69,63
10,10
17,20
58,62
74,72
21,24
51,52
19,23
50,50
24,27
0,0
12,7
75,77
21,29
64,67
5,1
58,57
32,28
41,44
7,7
4,2
5,5
49,53
90,91
3,8
11,7
32,32
83,81
25,23
83,79
26,26
76,74
95,92
53,49
77,81
42,50
25,25
54,55
55,59
0,1
73,72
35,30
86,84
90,90
13,8
46,48
46,45
32,31
8,9
71,75
28,30
24,24
56,58
49,51
79,79
90,86
89,89
41,43
27,27
58,59
26,29
31,31
70,71
71,68
39,40
7,4
48,48
56,51
45,44
41,38
3,4
37,36
24,22
68,64
47,50
27,22
68,64
74,71
95,92
79,81
21,25
95,94
54,53
56,59
80,75
26,28
25,25
8,6
95,95
94,89
54,59
7,7
99,99
36,33
48,47
65,61
42,40
93,89
86,87
26,26
51,53
100,97
94,96
6,6
24,24
75,76
7,4
53,53
73,73
16,14
80,81
77,77
89,86
80,77
55,51
19,17
56,58
47,44
56,59
2,-1
82,87
57,60
44,44
26,25
52,53
41,43
44,46
3,-3
31,29
97,96
21,23
17,20
7,4
61,61
10,14
52,55
10,12
65,64
71,70
4,-1
24,19
26,24
51,48
42,43
62,66
74,76
77,81
3,-2
50,47
24,22
37,33
58,58
52,52
27,25
14,12
100,100
3530.157369,
72,74.04682658
5,1.611947467
71,70.36836307
54,52.26831735
84,83.1286166
42,43.64765048
54,49.44785426
74,72.6356699
54,52.78130641
53,57.11195136
78,79.1050629
97,101.6228548
49,53.5825402
71,68.92139297
48,46.9666961
51,51.02642868
89,85.52073551
99,99.51685756
93,94.63911256
49,46.78357742
18,21.21321959
65,58.37266004
83,87.22059677
100,102.4967859
41,43.88314335
