bedrooms,bathrooms,floors,price
3,1,1,221900
3,2.25,2,538000
2,1,1,180000
4,3,1,604000
3,2,1,510000
4,4.5,1,1.23E+06
3,2.25,2,257500
3,1.5,1,291850
3,1,1,229500
3,2.5,2,323000
3,2.5,1,662500
2,1,1,468000
3,1,1.5,310000
3,1.75,1,400000
5,2,1.5,530000
4,3,2,650000
3,2,2,395000
4,1,1.5,485000
2,1,1,189000
3,1,1,230000
4,1.75,1,385000
3,2.75,1,2.00E+06
5,2.5,2,285000
2,1.5,1,252700
3,2.25,2,329000
3,2,1.5,233000
3,1.75,2,937000
3,1,1.5,667000
3,1.75,1,438000
4,2.5,2,719000
3,2.5,2,580500
2,1.5,3,280000
4,1.75,1.5,687500
3,1,1.5,535000
4,2.75,1,322500
3,2.5,1.5,696000
4,1,1,550000
4,2,2,640000
4,1,1,240000
4,2.5,2,605000
4,2.5,2,625000
4,2.25,1,775000
5,2.75,2,861990
3,1,2,685000
3,1,1,309000
3,2.5,2,488000
3,1,1,210490
4,2.5,2,785000
3,1.75,1,450000
3,2.5,1,1.35E+06
3,1,1,228000
5,2.5,1,345000
3,1.75,1,600000
2,1.75,1,585000
5,2.25,1.5,920000
4,2.5,2,885000
4,2.5,2,292500
3,2.5,2,301000
5,3.25,2,951000
4,3,2,430000
3,2.25,1,650000
3,1.75,1,289000
3,1.75,2,505000
3,1.75,3,549000
3,2.25,1,425000
3,2.75,1.5,317625
4,2.5,2,975000
4,2.5,2,287000
3,1,1,204000
5,2.25,1,1.33E+06
5,3.25,1,1.04E+06
3,2,1,325000
4,2,1.5,571000
4,2.5,2,360000
3,1.75,1,349000
4,4,2,832500
4,1.75,1,380000
3,1,1,480000
3,1,1,410000
4,2.5,2,720000
3,2.5,2,390000
4,2.5,2,360000
2,1,1,355000
3,1.5,1,356000
3,1,1,315000
3,1.5,2,940000
5,2.25,1.5,305000
3,3.25,2,461000
2,2.25,2,215000
2,1.75,2,335000
4,2.5,2,243500
5,2.75,2,1.10E+06
3,1,1,153000
3,1.5,1,430000
3,1.5,1,700000
4,2.5,1,905000
3,1.75,1,247500
4,1.5,1,199000
3,1.75,1,314000
3,2.5,2,437500
3,2.5,1.5,850830
3,2,1.5,555000
3,2.25,2,699950
3,2.5,2,1.09E+06
3,1,1,290000
3,2.5,1,375000
3,1,1.5,460000
2,1.75,1,188500
4,2.5,2,680000
5,1.75,2,470000
4,2.5,2,597750
3,1.75,1,570000
3,1.75,1,272500
3,1.75,1,329950
4,2.5,2,480000
3,3.5,2,740500
3,3.5,3,518500
2,1,1,205425
4,2,1,171800
4,1,1.5,535000
3,2.5,1,660000
3,2,1,391500
2,1,1,395000
4,1.75,1.5,445000
3,2.25,2,770000
4,2.75,1.5,1.45E+06
3,2.25,1,445000
4,2.25,1,260000
5,3.5,2,822500
4,2.5,2,430000
3,1.75,1,212000
4,2.25,1,660500
3,3.5,1.5,784000
3,2.5,2,453246
4,3.5,3,675000
3,1.75,1,199000
4,1.75,1,220000
4,2.25,1,452000
2,1,1,382500
3,2.25,3,519950
2,1,1,665000
5,2.5,1,527700
3,1,1,205000
3,1,1,420000
